date,symbol,side,shares,price
2024-04-19,INTC,buy,609.2545892257507,33.84693908691406
2024-04-19,ADBE,buy,1.0155041602829868,465.0199890136719
2024-04-19,BA,buy,0.27003784086600097,169.82000732421875
2024-04-26,ADBE,sell,44.34519688860203,477.55999755859375
2024-04-26,BA,sell,121.06341173023732,167.22000122070312
2024-04-26,TSLA,sell,140.23395132258943,168.2899932861328
2024-04-26,UBER,sell,297.9971658867343,69.05000305175781
2024-04-26,INTC,sell,609.2545892257507,31.55088996887207
2024-04-26,NEM,buy,508.4057527837704,41.23514175415039
2024-04-26,ABBV,buy,140.5434437235726,149.16514587402344
2024-04-26,RTX,buy,214.82715713637643,97.5862808227539
2024-04-26,AMD,buy,133.19049617277375,157.39999389648438
2024-04-26,AXP,buy,90.46196068834338,230.5876922607422
2024-05-03,NEM,sell,508.4057527837704,39.237552642822266
2024-05-03,ABBV,sell,140.5434437235726,153.06202697753906
2024-05-03,RTX,sell,214.82715713637643,97.57666015625
2024-05-03,AXP,sell,90.46196068834338,225.82211303710935
2024-05-03,TSLA,buy,113.59277844226628,181.19000244140625
2024-05-03,AMD,buy,3.4753402756875857,150.60000610351562
2024-05-03,UBER,buy,297.29705048785047,69.2300033569336
2024-05-03,HD,buy,63.079606703670244,326.2841491699219
2024-05-03,JPM,buy,112.23764516618937,182.6398468017578
2024-05-10,TSLA,sell,113.59277844226628,168.47000122070312
2024-05-10,UBER,sell,297.29705048785047,66.98999786376953
2024-05-10,HD,sell,63.079606703670244,329.6911926269531
2024-05-10,JPM,sell,112.23764516618937,190.5586395263672
2024-05-10,AMD,sell,2.3848689874440367,151.9199981689453
2024-05-10,IBM,buy,128.01532952632942,159.3556365966797
2024-05-10,ABBV,buy,135.79956614896707,150.22113037109375
2024-05-10,NFLX,buy,333.9493464978434,61.08700180053711
2024-05-10,SBUX,buy,281.31753353814,72.22587585449219
2024-05-17,AMD,sell,134.2809674610173,164.47000122070312
2024-05-17,ABBV,sell,135.79956614896707,155.51974487304688
2024-05-17,NFLX,sell,333.9493464978434,62.11000061035156
2024-05-17,SBUX,sell,281.31753353814,74.43756103515625
2024-05-17,INTC,buy,667.2048611921831,31.629356384277344
2024-05-17,ABT,buy,211.02947990700827,100.00148010253906
2024-05-17,UBER,buy,321.35314335899244,65.66999816894531
2024-05-17,CL,buy,234.80904333700997,89.87413787841797
2024-05-17,IBM,buy,2.4139560448757895,161.14797973632812
2024-05-24,IBM,sell,130.4292855712052,162.92124938964844
2024-05-24,INTC,sell,667.2048611921831,30.526351928710938
2024-05-24,ABT,sell,211.02947990700827,99.86698150634766
2024-05-24,CL,sell,234.80904333700997,89.0816650390625
2024-05-24,UBER,buy,3.138734917393947,64.26000213623047
2024-05-24,TGT,buy,153.72506017256114,135.64378356933594
2024-05-24,HD,buy,67.39623886037481,309.3918762207031
2024-05-24,SLB,buy,477.03965651598986,43.710933685302734
2024-05-24,EOG,buy,179.8527457646938,115.47380828857422
2024-06-03,UBER,sell,324.4918782763864,63.790000915527344
2024-06-03,HD,sell,67.39623886037481,314.3313293457031
2024-06-03,EOG,sell,179.8527457646938,112.07339477539062
2024-06-03,NOW,buy,157.3765666350116,132.02200317382812
2024-06-03,TGT,sell,8.357931541814338,142.92893981933594
2024-06-03,CAT,buy,64.41087449617314,322.5723876953125
2024-06-03,COP,buy,192.9602533072427,107.6759033203125
2024-06-03,SLB,buy,20.179540639227397,41.65962600708008
2024-06-10,TGT,sell,145.3671286307468,138.7166290283203
2024-06-10,NOW,sell,157.3765666350116,141.8300018310547
2024-06-10,CAT,sell,64.41087449617314,320.8688049316406
2024-06-10,COP,sell,192.9602533072427,107.13690185546876
2024-06-10,NVDA,buy,172.69388808879935,121.72130584716795
2024-06-10,SLB,sell,5.981209202025866,42.79092025756836
2024-06-10,SHOP,buy,333.6061915559476,63.0099983215332
