date,symbol,side,shares,price
2024-10-24,PM,sell,206.3356968616843,125.73689270019533
2024-10-24,VZ,sell,589.6008893062575,37.9253044128418
2024-10-24,MA,buy,45.90870997703877,506.07183837890625
2024-10-24,PG,buy,142.65465614644285,162.86257934570312
2024-10-24,LIN,buy,49.944531305423446,465.17816162109375
2024-10-24,JNJ,sell,0.7877802784889809,156.71153259277344
2024-10-24,PEP,buy,142.2320668506574,162.6934051513672
2024-10-31,MA,sell,45.90870997703877,495.14007568359375
2024-10-31,LIN,sell,49.944531305423446,447.2264099121094
2024-10-31,PG,sell,0.5255648785744143,158.59945678710938
2024-10-31,PEP,buy,1.392791098795442,156.94773864746094
2024-10-31,JNJ,sell,0.9844204956002613,153.06353759765625
2024-10-31,SBUX,buy,239.84992868920713,93.98208618164062
2024-10-31,RTX,buy,191.04306208249963,117.75521850585938
2024-11-07,PG,sell,142.12909126786843,156.8999481201172
2024-11-07,SBUX,sell,239.84992868920713,92.46221160888672
2024-11-07,RTX,sell,191.04306208249963,116.86954498291016
2024-11-07,COST,buy,24.48687952902995,907.9453125
2024-11-07,PEP,sell,0.1712121445497985,154.9821014404297
2024-11-07,WMT,buy,268.8307277523831,82.70166015625
2024-11-07,TJX,buy,193.7703815630147,114.7375946044922
2024-11-07,JNJ,buy,0.43788994535911413,150.06658935546875
2024-11-14,COST,sell,24.48687952902995,917.840087890625
2024-11-14,PEP,sell,0.40749027233746915,156.06886291503906
2024-11-14,JNJ,buy,5.820943341354223,145.41319274902344
2024-11-14,WMT,sell,0.8652852329996108,83.31317138671875
2024-11-14,APD,buy,71.54367088455773,303.8938903808594
2024-11-14,TJX,sell,4.747919608123652,118.10792541503906
2024-11-21,PEP,sell,143.04615553256556,151.52334594726562
2024-11-21,APD,sell,71.54367088455773,316.4006042480469
2024-11-21,TJX,buy,3.2136950542546288,117.97002410888672
2024-11-21,JNJ,sell,1.2127447404952534,148.88888549804688
2024-11-21,KO,buy,371.48705673333615,61.04682159423828
2024-11-21,KMB,buy,170.30839050850236,128.88601684570312
2024-11-21,WMT,sell,7.834231767488575,87.17948150634766
2024-11-29,WMT,sell,260.1312107518949,91.23319244384766
2024-11-29,KMB,sell,170.30839050850236,131.06813049316406
2024-11-29,MO,buy,447.4407949957573,51.97966384887695
2024-11-29,LIN,buy,51.45857935577583,451.9717102050781
2024-11-29,JNJ,buy,1.171233525304241,149.61061096191406
2024-11-29,KO,buy,0.0,61.818546295166016
2024-11-29,TJX,sell,4.371679503340829,123.80106353759766
2024-12-06,JNJ,sell,153.4868613917385,144.10916137695312
2024-12-06,TJX,sell,187.86447750580484,124.1950454711914
2024-12-06,KO,sell,371.48705673333615,60.32324981689453
2024-12-06,LIN,sell,51.45857935577583,441.9841613769531
2024-12-06,V,buy,74.13398666788439,308.1811218261719
2024-12-06,MO,sell,4.688791570374917,51.6015625
2024-12-06,ABT,buy,203.67053911808995,112.17476654052734
2024-12-06,AAPL,buy,94.5952119611499,241.5206298828125
2024-12-06,MA,buy,43.438209066286554,523.8619384765625
2024-12-13,MO,sell,442.7520034253824,49.44099426269531
2024-12-13,MA,sell,43.438209066286554,524.2881469726562
2024-12-13,AAPL,sell,2.580955491669414,246.7819061279297
2024-12-13,CSCO,buy,401.64735901096543,56.535797119140625
2024-12-13,ABT,buy,2.7223069131152897,110.02054595947266
2024-12-13,V,sell,1.3250291629126423,311.877197265625
2024-12-13,C,buy,329.69829254536177,68.73484802246094
2024-12-20,V,sell,72.80895750497174,314.8201904296875
2024-12-20,AAPL,sell,92.01425646948049,253.10736083984375
2024-12-20,C,sell,329.69829254536177,66.97315979003906
2024-12-20,ABT,sell,0.992173750858683,110.8453598022461
2024-12-20,DIS,buy,205.4762511929857,110.8045883178711
2024-12-20,COST,buy,24.021070599144338,947.822509765625
2024-12-20,XOM,buy,224.43223694461872,101.44581604003906
2024-12-20,CSCO,buy,0.5426631135637219,56.43935012817383
2024-12-30,COST,sell,24.021070599144338,916.171142578125
2024-12-30,CSCO,sell,7.304912073638775,57.08553314208984
2024-12-30,ABT,buy,0.5438947802460063,109.4577407836914
